# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 4.636214e-06 4.630127e-06 1.421182e-08 6
0.750000 7.911245e-08 3.004873e-08 7.288495e-08 7
1.250000 7.024091e-08 7.143951e-08 2.703400e-09 5
1.750000 1.976154e-06 1.973504e-06 1.251316e-07 8
2.250000 3.937890e-05 3.932290e-05 5.113651e-07 9
2.750000 8.097752e-05 8.127071e-05 5.361823e-06 8
3.250000 1.379065e-04 1.233355e-04 6.096069e-05 1795
3.750000 1.786085e-04 1.430260e-04 1.059026e-04 26485
4.250000 2.081604e-04 1.628822e-04 1.292595e-04 42240
4.750000 2.258351e-04 1.825857e-04 1.328572e-04 42652
5.250000 2.316563e-04 1.911268e-04 1.316102e-04 42312
5.750000 2.327437e-04 1.922612e-04 1.322709e-04 42587
6.250000 2.345158e-04 1.918801e-04 1.330386e-04 42180
6.750000 2.329692e-04 1.923260e-04 1.318807e-04 42437
7.250000 2.338264e-04 1.927254e-04 1.326555e-04 42516
7.750000 2.348489e-04 1.928670e-04 1.341738e-04 42330
8.250000 2.354450e-04 1.930760e-04 1.337145e-04 42377
8.750000 2.340824e-04 1.922189e-04 1.337088e-04 42347
9.250000 2.330554e-04 1.925724e-04 1.323155e-04 42549
9.750000 2.337153e-04 1.927909e-04 1.326198e-04 42488
10.250000 2.261446e-04 1.837179e-04 1.323405e-04 42273
10.750000 2.088178e-04 1.628014e-04 1.297875e-04 42291
11.250000 1.783320e-04 1.433623e-04 1.063667e-04 25961
11.750000 1.344031e-04 1.221129e-04 5.898136e-05 1827
12.250000 8.824388e-05 8.878991e-05 1.008726e-05 3
12.750000 3.923575e-05 4.025090e-05 1.667111e-06 5
13.250000 4.120196e-06 4.102063e-06 4.969056e-08 11
13.750000 3.072536e-09 1.636068e-12 3.072040e-09 4
14.250000 4.053499e-06 4.047059e-06 1.374414e-08 8
14.750000 2.440180e-07 2.467025e-07 3.095220e-09 7
